ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
529,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST6,05-MULT,,Rachael,,83,,03Ea,News Design [Pages],"Inside page/Broadsheet 175,000 and over","United in ritual, a nation votes",Nicole Hvidsten,Deputy Features Design Director,Greg Mees,Lead News Designer,Deb Pastner,Director of Photography,Michiela Thuman,News Design Director,Josh Penrod,Presentation Director,Derek  Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MULT-MST6,05-MULT,,Rachael,,83,,09A,Special Coverage,News,2016 election,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST6,05-MULT,,Rachael,1.00,83,,05G,Special News Topics,Politics/Elections,2016 Election,Greg Mees,Lead News Designer,Brandon Ferrill,Designer,Michiela Thuman,News Design Director,Judy Keen,Nation/World Editor,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST6,05-MULT,,Rachael,,83,,05G,Special News Topics,Politics/Elections,Illustrating the 2016 campaign,Greg Mees,Lead News Designer,Chris Morris,Illustrator,Judy Keen,Nation/World Editor,Michiela Thuman,News Design Director,Josh Penrod,Presentation Director,Derek  Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,MULT-MST6,05-MULT,,Rachael,,83,,05G,Special News Topics,Politics/Elections,Election 2016,Greg Mees,Lead News Designer,Michiela Thuman,News Design Director,Nicole Hvidsten,Deputy Features Design Director,Josh Penrod,Presentation Director,Derek  Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MULT-MST7,05-MULT,,Rachael,0.20,84,,10Cc,Special Sections,Sports/Section Cover,Ryder Cup,Brandon Ferrill,Designer,Davide Barco,Illustrator,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,09-SC,MULT-MST7,05-MULT,,Rachael,,84,,10Ac,Special Sections,Sports/With ads,2016 Ryder Cup,Brandon Ferrill,Designer,Davide Barco,Illustrator,Josh Penrod,Presentation Director,Derek Simmons,A.M.E./Visuals,Ray Grumney,Graphics Director,Jay St. Pierre,Lead Sports Designer,Aaron Lavinsky,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,
883,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,09-SC,MULT-NG1,05-MULT,,Rachael,,84,,20C,Combination Print & Digital,Features,A Vanishing Aquifer,Brian Jacobs,Senior Creative Developer,Lauren James,Graphic Editor,Laura Parker,Text,Kelsey Nowakowski,Researcher,Lawson Parker,Diagrams,John Tomanio,Graphic Director,Damien Saunder,Cartographer,Bethany Powell,Digital Creative Director,,,,,,,,,,,,,,,,,,,,,,,
802,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG1,05-MULT,,Rachael,0.30,84,,16Be,Information Graphics [Single],Features/Non-Deadline ,A Vanishing Aquifer,Lauren James,Graphic Editor,Lawson Parker,Graphic Artist,John Tomanio,"Executive Edidtor, Cartography, Art, and Graphics",Damien Saunder,Cartographer Direcgtor,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,11-PORT,MULT-NG2,05-MULT,,Rachael,,85,,17E,Information Graphics [Multiple],Individual Portfolio,Portfolio,Manuel Canales,Senior Graphic Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG2,05-MULT,,Rachael,0.60,85,,16Be,Information Graphics [Single],Features/Non-Deadline ,The Fire Within,Manuel Canales,Graphic Editor,Hernán Canellas,Artist,Theodore A. Sickley,G.I.S. Specialist,Andrew Umentum,Cartographic assistgant,Daisy Chung,Graphic Assistant,Shelly Sperry,Researcher,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,
818,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG2,05-MULT,,Rachael,,85,,16Be,Information Graphics [Single],Features/Non-Deadline ,In the Hot Zone,Manuel Canales,Graphics Editor,Hernán Canellas,Artist,Charles Preppernau,Cartographer,Theodore A. Sickley,G.I.S.,Shelly Sperry,Researcher,Eve Conant,Text,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,
829,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG2,05-MULT,,Rachael,,85,,16Be,Information Graphics [Single],Features/Non-Deadline ,Contested Canyon,Charles Preppernau,Graphic Editor,Manuel Canales,Graphic Editor,Amanda Hobbs,Researcher,Damien Saunder,Cartography Director,John Tomanio,Graphic Designer,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,
620,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,11-PORT,MULT-NG3,05-MULT,,Rachael,,86,,17E,Information Graphics [Multiple],Individual Portfolio,Portfolio,Jason Treat,Senior Graphic Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG3,05-MULT,,Rachael,0.60,86,,16Be,Information Graphics [Single],Features/Non-Deadline ,As the Trash Turns,Jason Treat,Senior Graphic Editor,Bruce Morser,Artist,Kaitlin M. Yarnall,"Executive Edidtor, Cartography, Art, and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG3,05-MULT,,Rachael,,86,,16Be,Information Graphics [Single],Features/Non-Deadline ,The Sacred Way,Jason Treat,Graphic Editor,Jaime Jones,Artist,Michael Musker,3-D Modeling,Kyle Thayer,3-D Modeling,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,
837,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG3,05-MULT,,Rachael,,86,,16Be,Information Graphics [Single],Features/Non-Deadline ,Putting a Face to a Case,Jason Treat,Senior Graphic Editor,Ryan Williams,Researcher,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG3,05-MULT,,Rachael,,86,,16Be,Information Graphics [Single],Features/Non-Deadline ,Colonizing Mars,Jason Treat,Graphic Editor,Dylan Cole,Artist,Manyun Zou,Researcher,Taryn Salinas,Researcher,Jeremy Berlin,Text,Damien Saunder,Cartographer,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,
619,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG4,05-MULT,,Rachael,,87,,17C,Information Graphics [Multiple],Single Subject Sports or Features,Eyes Under Threat,Manuel Canales,Graphic Editor,Patricia Healy,Researcher,John Tomanio,Graphic Director,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,07-FEA,MULT-NG4,05-MULT,,Rachael,0.50,87,,12Ec,Magazines,Story Design/Features,Eyes,John Baxter,Senior Design Editor,Kurt Mutchler,Senior Photo Editor,Jason Treat,Senior Graphics Editor,Scott Burkhard,Production Assistant,David Littschwager,Photographer,John Tomanio,Graphics Director,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,
625,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG4,05-MULT,,Rachael,,87,,15A,Photography [Multiple Photos],Single-Day Photo Series,Eyes,John Baxter,Senior Design Editor,Kurt Mutchler,Senior Photo Editor,Jason Treat,Senior Graphics Editor,Scott Burkhard,Production Assistant,David Littschwager,Photographer,John Tomanio,Graphics Director,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,
1124,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,07-FEA,MULT-NG5,05-MULT,,Rachael,0.25,87,,12Ec,Magazines,Story Design/Features,Octopus,Elaine Bradley,Senior Design Editor,Kathy Moran,Senior Photo Editor,Fernando M. Baptista,Senior Graphics Editor,David Liittwschwager,Photographer,Michael Tribble,Design Director,Scott  Burkhard,Production Assistant,John Tomanio,Graphics Director,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,
359,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG5,05-MULT,,Rachael,,87,,15A,Photography [Multiple Photos],Single-Day Photo Series,Octopus,Elaine Bradley,Senior Design Editor,Kathy Moran,Senior Photo Editor,Fernando Gomez Baptista,Senior Graphics Editor,Scott Burkhard,Production Assistant,David Liittschwager,Photographer,Michael Tribble,Design Director,John Tomanio,Graphics Director,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,
1123,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,07-FEA,MULT-NG6,05-MULT,,Rachael,0.30,84,,12Ec,Magazines,Story Design/Features,Pandas,Hannah Tax,Design Editor,Kathy Moran,Senior Photo Editor,Amy Vitale,Photographer,Sandi Owatverot,Junior Design Director,Lauren Tierney,Graphics Editor,Damien Saunder,Director of Cartography,Michael Tribble,Design Director,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,
630,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG6,05-MULT,,Rachael,,84,,15A,Photography [Multiple Photos],Single-Day Photo Series,Pandas,Hannah Tax,Design Editor,Kathy Moran,Senior Photo Editor,Amy Vitale,Photographer,Sandi Owatverot,Junior Design Director,Lauren Tierney,Graphics Editor,Damien Saunder,Director of Cartography,Michael Tribble,Design Director,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,
873,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,09-SC,MULT-NG7,05-MULT,,Rachael,,84,,20C,Combination Print & Digital,Features,Arctic Ice,Lauren E. James,Graphic Editor,Jason Treat,Graphic Editor,Daniela Santamarina,Junior Graphic Editor,Nick Kaloterakis,Artist,Ryan Williams,Researcher,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art, and Graphics",Bethany Powell,Digital Creative Director,Emmet Smith,Creative Director,,,,,,,,,,,,,,,,,,,,,,,
906,,National Geographic Magazine,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NG7,05-MULT,,Rachael,0.25,84,,16Be,Information Graphics [Single],Features/Non-Deadline ,Extreme Weather: An Arctic Connectgion,Lauren E. James,Graphic Editor,Jason Treat,Graphic Editor,Nick Kaloterakis,Artist,Ryan Williams,Researcher,Kaitlin M. Yarnall,"Executive Editor, Cartography, Art, and Graphics",Emmet Smith,Creative Director,Susan Goldberg,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,,,
842,,National Geographic Traveler,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-NGT1,05-MULT,,Rachael,,88,,13Da,Illustration,Features/Color,State Fares,Juan Mingarro,Illustrator,Alejandro Mingarro,Illustrator,Marianne Seregi,Design Director,Anne Farrar,Director of Photography,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,George Stone,Editor in Chief,Susan Goldberg,Editorial Director,,,,,,,,,,,,,,,,,,,,,,,
1091,,National Geographic Traveler,Washington,D.C.,,Award of Excellence,07-FEA,MULT-NGT1,05-MULT,,Rachael,,88,,12Dc,Magazines,Features/Inside Page Design,State Fares,Hannah Sheinberg,Associate Editor,Juan Mingarro,Illustrator,Alejandro Mingarro,Illustrator,Marianne Seregi,Design Director,Anne Farrar,Director of Photography,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,George Stone,Editor in Chief,Susan Goldberg,Editorial Director,,,,,,,,,,,,,,,,,,,,,
890,,National Geographic Traveler,Washington,D.C.,,Award of Excellence,07-FEA,MULT-NGT1,05-MULT,,Rachael,0.30,88,,12Da,Magazines,News/Inside Page Design,State Fares,Juan Mingarro,Illustrator,Alejandro Mingarro,Illustrator,Marianne Seregi,Design Director,Anne Farrar,Director of Photography,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,George Stone,Editor in Chief,Susan Goldberg,Editorial Director,,,,,,,,,,,,,,,,,,,,,,,
899,,National Geographic Traveler,Washington,D.C.,,Award of Excellence,07-FEA,MULT-NGT2,05-MULT,,Rachael,0.30,100,,12Dc,Magazines,Features/Inside Page Design,Taipei,Dina Litovsky,Photographer,Marianne Seregi,Design Director,Anne Farrar,Director of Photography,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,George Stone,Editor in Chief,Susan Goldberg,Editorial Director,,,,,,,,,,,,,,,,,,,,,,,,,
1153,,National Geographic Traveler,Washington,D.C.,,Award of Excellence,07-FEA,MULT-NGT2,05-MULT,,Rachael,,100,,12Ec,Magazines,Story Design/Features,Taipei,Andrew Joyce,Illustrator,Dina Litovsky,Photographer,Marianne Seregi,Design Director,Anne Farrar,Director of Photography,Sarah Leen,Director of Photography,Emmet Smith,Creative Director,George Stone,Editor in Chief,Susan Goldberg,Editorial Director,,,,,,,,,,,,,,,,,,,,,,,
115,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP1,05-MULT,,Rachael,0.25,89,,04F,Breaking News Topics,ISIS/Terrorism,Attack against Turkey,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP1,05-MULT,,Rachael,,89,,03Ab,News Design [Pages],"A-Section/Broadsheet 50,000-174,999",A symbolic attack against the heart of Turkey,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,,National Post,Toronto,Ont.,CANADA,Award of Excellence,08-VISUAL,MULT-NP2,05-MULT,,Rachael,,89,,13Ca,Illustration,Opinion/Color,Russia’s Murderers,Chloe Cushman,Illustrator,Geneviéve Biloski,Features Design Director,Matt Gurney,Comment Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP2,05-MULT,,Rachael,0.25,89,,11Ab,Opinion Design,"Single Page/Broadsheet 50,000-174,999",Russia’s  Murderers,Chloe Cushman,Illustrator,Geneviéve Biloski,Features Design Director,Matt Gurney,Comment Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP3,05-MULT,,Rachael,0.25,88,,04E,Breaking News Topics,Obituaries,Leonard Cohen,Geneviéve Biloski,Features Design Director,Dustin Parkes,Art & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,National Post,Toronto,Ont.,CANADA,Award of Excellence,07-FEA,MULT-NP3,05-MULT,,Rachael,,88,,07Gb,Features Design [Pages],"A&E Inside Page/Broadsheet 50,000-174,999",Leonard Cohen’s “Bird On The Wire”,Geneviéve Biloski,Features Design Director,Dustin Parkes,Art & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP4,05-MULT,,Rachael,0.25,88,,04E,Breaking News Topics,Obituaries,Prince,Kagan McLeod,Illustrator,Julie Traves,Deputy Editor,Geneviéve Biloski,Features Design Director,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,
483,,National Post,Toronto,Ont.,CANADA,Award of Excellence,09-SC,MULT-NP4,05-MULT,,Rachael,,88,,10Ba,Special Sections,Multiple Sections/News/With ads,Prince 1958-2016,Geneviéve Biloski,Features Design Director,Dustin Parkes,Arts & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP5,05-MULT,,Rachael,0.20,87,,03Eb,News Design [Pages],"Inside page/Broadsheet 50,000-174,999",Lost & Found,David Yasvinski,Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,National Post,Toronto,Ont.,CANADA,Award of Excellence,08-VISUAL,MULT-NP5,05-MULT,,Rachael,,87,,15A,Photography [Multiple Photos],Single-Day Photo Series,Lost & Found,David Yasvinski,Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP6,05-MULT,,Rachael,0.20,87,,11Da,Editorial Cartoons,,A 2016 Z,Gary Clement,Editorial Cartoonist,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP6,05-MULT,,Rachael,,87,,03Ab,News Design [Pages],"A-Section/Broadsheet 50,000-174,999",A 2016 Z,Gary Clement,Editorial Cartoonist,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP7,05-MULT,,Rachael,0.50,89,,04B,Breaking News Topics,Editor's Choice: National,Fort McMurray Fire,Mike Faille,Graphic Artist,Dean Tweed,Graphic Artist,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,
361,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP7,05-MULT,,Rachael,,89,,03Ab,News Design [Pages],"A-Section/Broadsheet 50,000-174,999",Fort McMurray,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,National Post,Toronto,Ont.,CANADA,Award of Excellence,08-VISUAL,MULT-NP7,05-MULT,,Rachael,,89,,15E,Photography [Multiple Photos],Photo Page Design,Fort McMurray,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,National Post,Toronto,Ont.,CANADA,Award of Excellence,08-VISUAL,MULT-NP7,05-MULT,,Rachael,,89,,15E,Photography [Multiple Photos],Photo Page Design,Fort McMurray,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP7,05-MULT,,Rachael,,89,,05B,Special News Topics,Editor's Choice: National,5 days of Fort McMurphy Fires,Gigi Suhanic,F.P. Design Editor,Julie Traves,Deputy Editor,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,
95,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,MULT-NP8,05-MULT,,Rachael,0.20,88,,04E,Breaking News Topics,Obituaries,David Bowie,Kagan McLeod,Illustrator,Geneviéve Biloski,Features Design Director,Dustin Parkes,Arts & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,,National Post,Toronto,Ont.,CANADA,Award of Excellence,07-FEA,MULT-NP8,05-MULT,,Rachael,,88,,07Bb,Features Design [Pages],"Arts & Entertainment/Broadsheet 50,000-174,999",David Bowie’s Illustration,Kagan McLeod,Illustrator,Geneviéve Biloski,Features Design Director,Dustin Parkes,Arts & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,National Post,Toronto,Ont.,CANADA,Award of Excellence,07-FEA,MULT-NP9,05-MULT,,Rachael,0.20,90,,07Eb,Features Design [Pages],"Travel/Broadsheet 50,000-174,999","If you rebuilt it, will they come?",Geneviéve Biloski,Features Design Director,Dustin Parkes,Art & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,National Post,Toronto,Ont.,CANADA,Award of Excellence,08-VISUAL,MULT-NP9,05-MULT,,Rachael,,90,,15E,Photography [Multiple Photos],Photo Page Design,"If you rebuild it, will they come?",Geneviéve Biloski,Features Design Director,Dustin Parkes,Art & Culture Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,The,New York Times,New York,N.Y.,,Award of Excellence,09-SC,MULT-NYT1,05-MULT,,Rachael,,90,,20B,Combination Print & Digital,Sports,Muhammad Ali,Gabe Johnson,Director,Fred Bierman,Designer,Wayne Kamidoi,Designer,Jeffrey Furticella,Picture Editor,Becky Lebowitz Hanger,Picture Editor,Carl Nelson,Assistant Sports Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,The,New York Times,New York,N.Y.,,Award of Excellence,06-NEWS,MULT-NYT1,05-MULT,,Rachael,0.25,90,,05E,Special News Topics,Editor's Choice: Features,Muhammad Ali,Fred Bierman,Designer,Wayne Kamidol,Designer,Lee Yarosh,Designer,Andrew Braford,Designer,Benjamin Hoffman,Designer,Jeffrey Furticella,Picture Editor,Becky Lebowitz Hanger,Picture Editor,Carl Nelson,Assistant Sports Editor,,,,,,,,,,,,,,,,,,,,,,,
